purchase_year,purchase_month,year_month,total_orders,total_payment_value,avg_order_value,avg_review_score
2016,10,2016-10,324,59090.48,182.38,3.56
2017,01,2017-01,800,138488.04,173.11,4.06
2017,02,2017-02,1780,291908.01,163.99,4.02
2017,03,2017-03,2682,449863.6,167.73,4.07
2017,04,2017-04,2404,417788.03,173.79,4.05
2017,05,2017-05,3700,592918.82,160.25,4.14
2017,06,2017-06,3245,511276.38,157.56,4.15
2017,07,2017-07,4026,592382.92,147.14,4.18
2017,08,2017-08,4331,674396.32,155.71,4.24
2017,09,2017-09,4285,727762.45,169.84,4.19
2017,10,2017-10,4631,779677.88,168.36,4.12
2017,11,2017-11,7544,1194882.8,158.39,3.91
2017,12,2017-12,5673,878401.48,154.84,4.02
2018,01,2018-01,7269,1115004.18,153.39,4.04
2018,02,2018-02,6728,992463.34,147.51,3.83
2018,03,2018-03,7211,1159652.12,160.82,3.75
2018,04,2018-04,6939,1160785.48,167.28,4.16
2018,05,2018-05,6873,1153982.15,167.9,4.19
2018,06,2018-06,6167,1023880.5,166.03,4.28
2018,07,2018-07,6292,1066540.75,169.51,4.26
2018,08,2018-08,6512,1022425.32,157.01,4.26
