seller_id,seller_city,seller_state,delivered_orders,late_orders,late_order_rate,total_item_revenue,avg_review_score
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,973,98,10.07,237806.69,3.5
f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,218,34,15.6,72387.94,4.22
8160255418d5aaa7dbdc9f4c64ebda44,ibitinga,SP,380,63,16.58,54095.68,3.95
06a2c3af7b3aee5d69171b0e14f0ee87,sao luis,MA,389,90,23.14,48169.5,4.01
712e6ed8aa4aa1fa65dab41fed5737e4,videira,SC,77,17,22.08,46149.82,3.39
2eb70248d66e0e3ef83659f71b244378,campinas,SP,187,26,13.9,42046.73,2.79
1835b56ce799e6a4dc4eddc053f04066,ibitinga,SP,417,49,11.75,41628.28,3.66
88460e8ebdecbfecb5f9601833981930,maringa,PR,246,48,19.51,36258.59,3.44
d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,SP,514,30,5.84,30370.23,3.78
897060da8b9a21f655304d50fd935913,ribeirao preto,SP,304,36,11.84,28258.33,3.71
710e3548e02bc1d2831dfc4f1b5b14d4,rolandia,PR,131,6,4.58,26111.91,3.43
8f2ce03f928b567e3d56181ae20ae952,pirituba,SP,151,23,15.23,24969.8,4.15
8444e55c1f13cd5c179851e5ca5ebd00,congonhal,MG,92,6,6.52,23445.67,3.37
44073f8b7e41514de3b7815dd0237f4f,brasilia,DF,142,5,3.52,21519.49,3.74
cd68562d3f44870c08922d380acae552,ribeirao preto,SP,122,22,18.03,20279.86,4.02
