customer_state,delivered_orders,late_orders,late_order_rate,avg_review_score
AL,397,95,23.93,3.85
MA,717,141,19.67,3.83
PI,476,76,15.97,3.99
CE,1279,196,15.32,3.94
SE,335,51,15.22,3.91
BA,3256,457,14.04,3.93
RJ,12350,1664,13.47,3.97
TO,274,35,12.77,4.15
PA,946,117,12.37,3.91
ES,1995,244,12.23,4.08
MS,701,81,11.55,4.16
PB,517,57,11.03,4.08
PE,1593,172,10.8,4.08
RN,474,51,10.76,4.15
SC,3546,346,9.76,4.13
GO,1957,160,8.18,4.1
RS,5344,382,7.15,4.19
DF,2080,147,7.07,4.13
MT,886,60,6.77,4.15
SP,40494,2387,5.89,4.25
MG,11354,637,5.61,4.19
PR,4923,246,5.0,4.24
AM,145,6,4.14,4.24
RO,243,7,2.88,4.17
