feature,importance
delay_days,0.239810518667503
order_status_delivered,0.1513480467180379
delivery_days,0.13500836310944694
is_late,0.12285291726515929
item_row_count,0.06439623905230209
total_freight_value,0.035987359960692085
order_status_shipped,0.026172793013412056
estimated_delivery_days,0.025926862185220383
order_status_unavailable,0.02450046199927123
total_order_item_value,0.020856268808564025
total_payment_value,0.01879145883303521
unique_seller_count,0.01867555955053128
order_status_canceled,0.018169238537799788
total_item_price,0.017081885740083787
unique_product_count,0.01584476172627597
purchase_month,0.012740532752014741
order_status_processing,0.011422596757075774
order_status_invoiced,0.00847390927747312
max_installments,0.0071871597357571785
customer_state_RJ,0.0036873798741825165
purchase_year,0.0031561653138088563
customer_state_SP,0.0026975912409998287
payment_row_count,0.001696432026380824
customer_state_MG,0.0014659828199459202
customer_state_RS,0.0013562881930525741
customer_state_PR,0.000998852620748669
customer_state_BA,0.0008191947094045979
customer_state_SC,0.0007161460928372971
payment_type_count,0.0006915136860566426
customer_state_PE,0.0006173481499268974
customer_state_ES,0.0006030669491564346
customer_state_MT,0.0005919348034421498
customer_state_GO,0.0005867756107128041
customer_state_DF,0.0005770787672975608
customer_state_CE,0.00053704959487058
customer_state_PA,0.00043948869367696627
customer_state_PI,0.00042006779301469795
customer_state_MA,0.0004180903410545759
customer_state_TO,0.00041621680707003153
customer_state_MS,0.0004029908917510751
customer_state_PB,0.00037832136749942096
customer_state_AL,0.00032108766298311183
customer_state_RN,0.0003199512377309077
customer_state_SE,0.00021640400726175794
customer_state_RO,0.00017910711023222617
customer_state_AM,0.00015789402441087534
customer_state_AP,0.00011709634638622587
customer_state_AC,8.297867991504533e-05
customer_state_RR,4.3268563114084747e-05
order_status_approved,2.959325989130209e-05
order_status_created,1.1709071527660872e-05
